surface_name	site_name	species_name	formation_energy	frequencies	reference
Ru	211	CH2	0.69	[3098,2977,1257,684,546,495,483,318,113]	Jones
Ru	211	CH	0.71	[2946,736,690,449,379,334]	Jones
Ru	211	C	1.273	[498,461,382]	Jones
Ru	211	O	-0.1	[573,388,97]	Jones
Ru	211	H	-0.532	[313,1287,1063]	Jones
Ru	211	CO	0.983	[1888,346,323,287,214,160]	Jones
Ru	211	CH3-H	0.52	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	Jones
Ru	211	O-H	0.267	[]	Jones
Ru	211	CH2-H	0.68	[]	Jones
Ru	211	CH-H	1.07	[]	Jones
Ru	211	C-H	1.74	[]	Jones
Ru	211	C-O	2.803	[]	Jones
Ru	211	H-H	0.066	[]	Jones
Ru	211	CO-	0.983	[579,516,453,449,363]	Jones
