surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	111	CH2O-H	3.18	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	This Work, BEEF-vdw
Cu	111	CH3	1.275	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Cu	111	CH3-H	1.9	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
Cu	111	CH3-O	3.26	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	This Work, BEEF-vdw
Cu	111	CHO-H	3.66	[2932.0,1426.8,1280.5,1067.2,859.8,606.8,443.5,306.4,179.6,107.0,103.1]	This Work, BEEF-vdw
Cu	111	CO	0.92	[2040.0,306.9,268.2,261.1,99.7,68.7]	This Work, BEEF-vdw
Cu	111	CO-H	4.39	[1695.8,757.8,325.1,278.1,277.1,113.9,72.7,400.2]	This Work, BEEF-vdw
Cu	111	CO-O	1.8	[1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	This Work, BEEF-vdw
Cu	111	H	-0.075	[978.2,768.0,764.8]	This Work, BEEF-vdw
Cu	111	H-H	0.705	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Cu	111	O	0.38	[413.6,381.7,381.6]	This Work, BEEF-vdw
Ni	111	C	0.9	[455.9,468.2,469.2]	This Work, BEEF-vdw
Ni	111	C-H	1.71	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Ni	111	CH	0.31	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Ni	111	CH-H	1	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Ni	111	CH2	0.66	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Ni	111	CH2-H	1.34	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Ni	111	CH3	0.54	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Ni	111	CH3-H	1.3	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
