surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	0	[51.8,65.8,75.6,1329.3,1329.6,1331.7,1547.3,1548.3,2992.3,3118.4,3118.9,3119.4]	This Work, BEEF-vdw
None	gas	CO	1.28	[]	This Work, BEEF-vdw
None	gas	CO2	0	[125.2,138.1,650.1,650.4,1336.5,2363.7]	This Work, BEEF-vdw
None	gas	H2	0	[0.3,0.8,4450.3]	This Work, BEEF-vdw
Pd	111	C	2.54	[455.9,468.2,469.2]	This Work, BEEF-vdw
Pd	111	C-H	3.155	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Pd	111	C-O	5.36	[506.9,420.5,385.3,330.8,219.4]	This Work, BEEF-vdw
Pd	111	CH	1.755	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Pd	111	CH-H	2.25	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Pd	111	CH2	1.65	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Pd	111	CH2-H	1.925	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Pd	111	CH3	0.925	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Pd	111	CH3-H	1.1	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
Pd	111	CO	-0.12	[3.9,8.7,46.0,57.1,62.0,253.0]	This Work, BEEF-vdw
Pd	111	CO-O	1.8	[]	This Work, BEEF-vdw
Pd	111	H	-0.395	[978.2,768.0,764.8]	This Work, BEEF-vdw
Pd	111	H-H	0.515	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Pd	111	O	0.86	[413.6,381.7,381.6]	This Work, BEEF-vdw
Pt	111	C	2.16	[455.9,468.2,469.2]	This Work, BEEF-vdw
Pt	111	C-H	3.13	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Pt	111	C-O	5.36	[506.9,420.5,385.3,330.8,219.4]	This Work, BEEF-vdw
Pt	111	CH	1.23	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Pt	111	CH-H	1.8	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Pt	111	CH2	1.21	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Pt	111	CH2-H	1.53	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Pt	111	CH3	0.55	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Pt	111	CH3-H	1.1	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
Pt	111	CO	0.08	[3.9,8.7,46.0,57.1,62.0,253.0]	This Work, BEEF-vdw
Pt	111	CO-O	1.7	[]	This Work, BEEF-vdw
Pt	111	H	-0.35	[978.2,768.0,764.8]	This Work, BEEF-vdw
Pt	111	H-H	0.54	[1224.9,1016.8,814.3,376.5,311.2]	This Work, BEEF-vdw
Pt	111	O	0.88	[413.6,381.7,381.6]	This Work, BEEF-vdw
Rh	111	C	1.99	[455.9,468.2,469.2]	This Work, BEEF-vdw
Rh	111	C-H	2.64	[1238.2,658.6,495.8,434.6,346.4]	This Work, BEEF-vdw
Rh	111	C-O	4.26	[506.9,420.5,385.3,330.8,219.4]	This Work, BEEF-vdw
Rh	111	CH	1.24	[379.0,380.0,503.1,599.3,599.4,3065.5]	This Work, BEEF-vdw
Rh	111	CH-H	2.05	[3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	This Work, BEEF-vdw
Rh	111	CH2	1.35	[152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	This Work, BEEF-vdw
Rh	111	CH2-H	1.45	[3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	This Work, BEEF-vdw
Rh	111	CH3	0.85	[95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]	This Work, BEEF-vdw
Rh	111	CH3-H	1.1	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	This Work, BEEF-vdw
Rh	111	CO	-0.32	[3.9,8.7,46.0,57.1,62.0,253.0]	This Work, BEEF-vdw
