surface_name	site_name	species_name	formation_energy	frequencies	reference
Pt	111	C-H	3.13	[]	This Work, BEEF-vdw
Pt	111	C-O	5.36	[]	This Work, BEEF-vdw
Pt	111	CH	1.23	[2946,736,690,449,379,334]	This Work, BEEF-vdw
Pt	111	CH-H	1.8	[]	This Work, BEEF-vdw
Pt	111	CH-O	4.21	[]	This Work, BEEF-vdw
Pt	111	CH2	1.21	[3098,2977,1257,684,546,495,483,318,113]	This Work, BEEF-vdw
Pt	111	CH2-H	1.53	[]	This Work, BEEF-vdw
Pt	111	CH2-O	3.91	[]	This Work, BEEF-vdw
Pt	111	CH2O	2.18	[]	This Work, BEEF-vdw
Pt	111	CH2O-H	2.19	[]	This Work, BEEF-vdw
Pt	111	CH3	0.55	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	This Work, BEEF-vdw
Pt	111	CH3-H	1.1	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	This Work, BEEF-vdw
Pt	111	CH3-O	3.86	[]	This Work, BEEF-vdw
Pt	111	CH3O	2.03	[]	This Work, BEEF-vdw
Pt	111	CHO	1.75	[]	This Work, BEEF-vdw
Pt	111	CHO-H	2.6	[]	This Work, BEEF-vdw
Pt	111	CO	0.08	[1888,346,323,287,214,160]	This Work, BEEF-vdw
Pt	111	CO-H	2.73	[]	This Work, BEEF-vdw
Pt	111	CO-O	1.7	[579,516,453,449,363]	This Work, BEEF-vdw
Pt	111	H	-0.35	[313,1287,1063]	This Work, BEEF-vdw
Pt	111	H-H	0.54	[]	This Work, BEEF-vdw
Pt	111	O	0.88	[573,388,97]	This Work, BEEF-vdw
Rh	111	C	1.99	[498,461,382]	This Work, BEEF-vdw
Rh	111	C-H	2.64	[]	This Work, BEEF-vdw
Rh	111	C-O	4.26	[]	This Work, BEEF-vdw
Rh	111	CH	1.24	[2946,736,690,449,379,334]	This Work, BEEF-vdw
Rh	111	CH-H	2.05	[]	This Work, BEEF-vdw
Rh	111	CH-O	3.29	[]	This Work, BEEF-vdw
Rh	111	CH2	1.35	[3098,2977,1257,684,546,495,483,318,113]	This Work, BEEF-vdw
Rh	111	CH2-H	1.45	[]	This Work, BEEF-vdw
Rh	111	CH2-O	2.99	[]	This Work, BEEF-vdw
Rh	111	CH2O	1.74	[]	This Work, BEEF-vdw
Rh	111	CH2O-H	2.2	[]	This Work, BEEF-vdw
Rh	111	CH3	0.85	[3092,3007,2519,1385,1262,1200,592,562,410,204,195,86]	This Work, BEEF-vdw
Rh	111	CH3-H	1.1	[3094,3021,2224,1937,1442,1312,1287,948,809,441,200,170,139,105]	This Work, BEEF-vdw
Rh	111	CH3-O	2.92	[]	This Work, BEEF-vdw
Rh	111	CH3O	1.29	[]	This Work, BEEF-vdw
Rh	111	CHO	1.72	[]	This Work, BEEF-vdw
Rh	111	CHO-H	2.52	[]	This Work, BEEF-vdw
Rh	111	CO	-0.32	[1888,346,323,287,214,160]	This Work, BEEF-vdw
Rh	111	CO-H	2.64	[]	This Work, BEEF-vdw
Rh	111	CO-O	0.74	[579,516,453,449,363]	This Work, BEEF-vdw
Rh	111	H	-0.33	[313,1287,1063]	This Work, BEEF-vdw
Rh	111	H-H	0.58	[]	This Work, BEEF-vdw
Rh	111	O	-0.15	[573,388,97]	This Work, BEEF-vdw
Co	111	C	2.367	[498,461,382]	This Work, BEEF-vdw
Co	111	O	-0.933	[573,388,97]	This Work, BEEF-vdw
Ni	111	C	2.398	[498,461,382]	This Work, BEEF-vdw
Ni	111	O	-0.768	[573,388,97]	This Work, BEEF-vdw
Ru	111	C	1.273	[498,461,382]	This Work, BEEF-vdw
Ru	111	O	-1.407	[573,388,97]	This Work, BEEF-vdw
