surface_name    site_name   species_name    formation_energy    frequencies reference
None    gas CH4 0   []  catapp
None    gas CO2 0   []  catapp
None    gas CO  1.28    []  catapp
None    gas H2  0   []  catapp
Pt  111 CH3 0.55    [95.8,103.5,226.0,278.8,545.5,547.6,1166.3,1400.4,1403.8,2944.3,3014.7,3016.4]  jsy
Pt  111 CO  0.08    [2040.0,306.9,268.2,261.1,99.7,68.7]	jsy
Pt  111 CH2 1.21    [152.0,257.5,305.9,416.3,434.8,643.3,1329.9,2947.9,3008.0]	jsy
Pt  111 CH  1.23    [379.0,380.0,503.1,599.3,599.4,3065.5]	jsy
Pt  111 C   2.16    [455.9,468.2,469.2]	jsy
Pt  111 H   -0.35   [978.2,768.0,764.8]	jsy
Pt  111 O   0.88    [413.6,381.7,381.6]	jsy
Pt	111	CH3O	2.03	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Pt	111	CH2O	2.18	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Pt	111	CHO	1.75	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Ru  111 CH3-H   1.1 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Rh  111 CH3-H   1.1 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Au  111 CH3-H   2.2 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Ag	111	CH3-H	2.5	[3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Pd  111 CH3-H   1.1 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Pt  111 CH3-H   1.1 [3154.7,3136.2,3028.3,1426.8,1421.0,1358.3,1104.9,759.3,717.9,368.1,315.1,125.1,86.6,69.4]	jsy
Ru  111 CH2-H   1.49    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Rh  111 CH2-H   1.45    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Au  111 CH2-H   3.43    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Ag  111 CH2-H   3.97    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Pd  111 CH2-H   1.925   [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Pt  111 CH2-H   1.53    [3080.5,3007.1,1406.2,1361.2,822.3,622.7,534.5,442.3,340.2,222.8,77.0]	jsy
Ru  111 CH-H    1.511   [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Rh  111 CH-H    2.05    [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Au  111 CH-H    4.26    [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Ag  111 CH-H    4.94    [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Pd  111 CH-H    2.25    [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Pt  111 CH-H    1.8 [3040.9,1933.3,1040.9,766.5,569.7,500.1,407.8,402.9]	jsy
Ru  111 C-H 2.321   [1238.2,658.6,495.8,434.6,346.4]	jsy
Rh  111 C-H 2.64    [1238.2,658.6,495.8,434.6,346.4]	jsy
Au  111 C-H 5.84    [1238.2,658.6,495.8,434.6,346.4]	jsy
Ag  111 C-H 6.61    [1238.2,658.6,495.8,434.6,346.4]	jsy
Pd  111 C-H 3.155   [1238.2,658.6,495.8,434.6,346.4]	jsy
Pt  111 C-H 3.13    [1238.2,658.6,495.8,434.6,346.4]	jsy
Ru  111 CO-O    0.17    [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Rh  111 CO-O    0.74    [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Au  111 CO-O    3.4 [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Ag  111 CO-O    2.7 [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Pd  111 CO-O    1.8 [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Pt  111 CO-O    1.7 [1978.7,510.5,378.6,334.0,306.1,230.1,87.4,49.3]	jsy
Ru  111 C-O 0   [506.9,420.5,385.3,330.8,219.4]	jsy
Rh  111 C-O 4.26    [506.9,420.5,385.3,330.8,219.4]	jsy
Au  111 C-O 0   [506.9,420.5,385.3,330.8,219.4]	jsy
Ag  111 C-O 8.7 [506.9,420.5,385.3,330.8,219.4]	jsy
Pd  111 C-O 5.36    [506.9,420.5,385.3,330.8,219.4]	jsy
Pt  111 C-O 5.36    [506.9,420.5,385.3,330.8,219.4]	jsy
Ru  111 H-H -0.5    [1224.9,1016.8,814.3,376.5,311.2]	jsy
Rh  111 H-H 0.58    [1224.9,1016.8,814.3,376.5,311.2]	jsy
Au  111 H-H 0.93    [1224.9,1016.8,814.3,376.5,311.2]	jsy
Ag  111 H-H 0.77    [1224.9,1016.8,814.3,376.5,311.2]	jsy
Pd  111 H-H 0.515   [1224.9,1016.8,814.3,376.5,311.2]	jsy
Pt  111 H-H 0.54    [1224.9,1016.8,814.3,376.5,311.2]	jsy
Rh	111	CH3-O	2.92	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	jsy
Ag	111	CH3-O	4.32	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	jsy
Cu	111	CH3-O	3.26	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	jsy
Pd	111	CH3-O	3.49	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	jsy
Pt	111	CH3-O	3.86	[3244.9,3181.7,3038.3,1414.3,1401.6,1069.5,757.1,664.9,366.3,303.9,253.0,204.6,104.5,76.7]	jsy
Rh	111	CH2-O	2.99	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	jsy
Ag	111	CH2-O	5.79	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	jsy
Cu	111	CH2-O	4.13	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	jsy
Pd	111	CH2-O	4.04	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	jsy
Pt	111	CH2-O	3.91	[3121.6,3034.3,1356.9,871.7,651.1,515.6,424.5,368.7,282.9,231.5,152.8]	jsy
Rh	111	CH-O	3.29	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	jsy
Ag	111	CH-O	7.01	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	jsy
Cu	111	CH-O	4.92	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	jsy
Pd	111	CH-O	4.07	[3116.8,874.8,638.1,475.2,432.3,391.2,332.3,172.6]	jsy
